;Intersection Database populated by Casey Diers' Sector File Creation tools at http://www.myfsim.com/SectorFileCreation
;;All Airports within 100 Nautical Miles of PHK NAVAID
81FA 000.000 N027.02.02.000 W080.09.59.000
KHWO 000.000 N026.00.04.400 W080.14.26.600 ; Towered
44FD 000.000 N026.03.02.690 W080.12.39.200
77FD 000.000 N026.01.07.540 W080.10.52.770
FL56 000.000 N026.02.43.800 W080.12.57.000
KHST 000.000 N025.29.18.782 W080.23.00.839 ; Towered
X51  000.000 N025.29.57.230 W080.33.15.280
FA47 000.000 N025.33.58.250 W080.21.29.450
FD17 000.000 N025.26.53.910 W080.24.36.330
FD34 000.000 N025.27.13.000 W080.24.41.000
4FD3 000.000 N025.30.54.910 W080.30.48.600
78FD 000.000 N025.32.47.390 W080.27.56.202
04FA 000.000 N025.33.31.389 W080.30.54.206
11FA 000.000 N025.35.01.385 W080.29.59.205
KIMM 000.000 N026.26.01.363 W081.24.01.721
59FD 000.000 N026.19.34.350 W080.59.16.680
0FA6 000.000 N026.23.54.000 W081.24.52.800
80FD 000.000 N027.06.48.181 W080.38.00.202
FA24 000.000 N027.05.36.000 W080.36.44.000
X58  000.000 N027.02.15.000 W080.26.27.600
59FL 000.000 N026.51.34.217 W080.03.28.840
2FL4 000.000 N026.51.21.000 W080.04.29.000
06FA 000.000 N026.54.29.351 W080.19.42.290 ; Towered
60FL 000.000 N026.55.32.000 W080.05.46.000
81FD 000.000 N026.55.02.208 W080.11.59.162
FD15 000.000 N026.58.46.200 W080.13.07.164
71FA 000.000 N026.54.25.200 W080.18.01.250
FD09 000.000 N027.48.36.096 W080.51.32.217
4FL1 000.000 N027.51.46.000 W080.57.29.000
33FL 000.000 N027.51.39.100 W080.59.59.500
80FA 000.000 N027.53.11.000 W081.05.02.000
07FA 000.000 N025.19.27.541 W080.16.32.624
FA17 000.000 N028.17.01.041 W081.24.32.255
12FD 000.000 N028.17.54.730 W081.24.36.890
43FD 000.000 N028.17.28.000 W081.23.14.000
85FD 000.000 N028.18.55.037 W081.24.21.255
19FD 000.000 N028.16.30.360 W081.20.11.400
FD12 000.000 N028.15.01.046 W081.23.29.254
FD83 000.000 N028.15.31.044 W081.23.02.254
X14  000.000 N026.44.26.100 W081.25.41.800
08FA 000.000 N026.34.47.261 W081.29.01.279
FA51 000.000 N026.44.20.239 W081.30.22.278
FD20 000.000 N026.48.01.231 W081.29.06.276
95FD 000.000 N026.46.06.000 W081.32.20.000
05FL 000.000 N026.31.12.800 W081.24.36.800
1FL9 000.000 N026.44.47.000 W081.25.43.000
FA18 000.000 N026.26.39.000 W081.01.13.000
FL88 000.000 N026.41.01.246 W081.26.59.275
17FA 000.000 N026.42.48.244 W081.32.07.281
X49  000.000 N027.56.00.089 W082.02.38.306
40FD 000.000 N028.00.39.890 W081.52.45.670
FD72 000.000 N027.10.58.176 W081.23.26.264
03FA 000.000 N027.21.11.151 W081.24.29.263
09FA 000.000 N027.14.44.168 W081.24.47.264
FA60 000.000 N027.14.20.168 W081.23.09.262
3FD0 000.000 N027.01.18.199 W081.27.04.271
08FL 000.000 N027.05.04.189 W081.19.43.260
30FA 000.000 N027.19.13.940 W081.22.13.720
X07  000.000 N027.53.38.000 W081.37.13.500
FA45 000.000 N027.54.58.890 W081.32.56.340
6FL7 000.000 N027.50.04.810 W081.26.15.120
52FA 000.000 N027.56.22.600 W081.25.55.300
X25  000.000 N027.57.13.700 W081.36.05.100
9FD0 000.000 N027.56.44.079 W081.24.12.260
62FL 000.000 N027.50.40.000 W081.26.23.000
7FD6 000.000 N026.37.21.244 W080.18.19.174
42FD 000.000 N026.36.36.780 W080.05.17.170
50FA 000.000 N026.36.59.786 W081.39.32.926
FA19 000.000 N026.41.04.780 W080.15.05.560
91FD 000.000 N026.45.40.910 W080.04.10.910
KMKY 000.000 N025.59.42.100 W081.40.21.100
FD00 000.000 N025.49.38.420 W080.20.32.990
KMLB 000.000 N028.06.09.900 W080.38.42.900 ; Towered
31FL 000.000 N028.02.36.069 W081.01.09.227
3FD3 000.000 N028.05.20.330 W080.36.50.160
92FD 000.000 N028.13.06.040 W080.41.03.193
66FL 000.000 N028.15.15.830 W080.44.39.460
8FA7 000.000 N028.13.36.400 W080.43.51.500
KCOI 000.000 N028.20.29.800 W080.41.07.700
12FA 000.000 N028.16.46.490 W080.40.25.620
FL31 000.000 N025.33.16.390 W080.33.14.210
X44  000.000 N025.46.42.000 W080.10.13.000
9FA8 000.000 N025.41.09.870 W080.20.18.520
